"year","title","abstract","journal","doi"
"2013","Double differentiation in a cross-national comparison of populist political movements and online media uses in the United States and the Netherlands"," In a context of highly visible and politically influential populist movements, this study considers the online self-representation of the Tea Party Patriots (TPP) in the United States and the Party for Freedom (PVV) in the Netherlands. A multi-methodological approach was adopted to compare the discursive manifestation of key populism concepts: leadership characteristics, adversary definition and mobilizing information. Analyses reconstruct and account for similarities and differences in discursive framing strategies of ‘double differentiation’ through which both movements attempt inclusion in and exclusion from the political establishment, and, in doing so, mobilize communities of support. Altogether, this study advances the understanding of what constitutes ‘unmediated’ content that is presented through user-generated media production, and how self-determined media spaces have facilitated shifts in populist media legitimation and political representation in two politically unique countries. ","",""
"2014","Swedish politicians and new media: Democracy, identity and populism in a digital discourse"," The empirical material of this article consists of interviews with politicians in Västerbotten, an area in the north of Sweden. The aim of the article is to identify and analyse how these politicians relate to digital information technology and new media. What democratic opportunities and risks of information technology and new media are reflected in interviews with the politicians? What does this technology and these media mean for politicians’ political strategies and for their identity production as professional politicians? We argue that the interview data reflect two partly contradictory political identities: on the one side a progressive and modern political identity, and on the other a ‘real’ and ‘authentic’ political identity. However, both identities are consistent with a digital discourse and are populist due to their pro-technological character. ","",""
"2017","The Populist Communication Style: Toward a Critical Framework","This article seeks to understand the advance and allure of populism and the populist communication style in the era of mediatization. It proposes a critical framework based on three categories—identity construction, rhetorical style, and relationship with media—to assess the relevant features of the communicative styles of specific populist actors of right and left, in power relations, in their own settings and time. The framework is employed to assess the communicative styles of left-wing late Venezuelan president Hugo Chavez and former right-wing leader of the United Kingdom Independence Party Nigel Farage—two political actors who would not usually be considered as likely populist bedfellows.","",""
"2017","Integration or isolation? Mapping out the position of radical right media in the public sphere","The study explores the validity of the media visibility thesis in a cross-country comparative framework, concentrating on the position of media outlets sympathetic or affiliated to the populist radical right parties in the public spheres in Hungary and Romania. The visibility of such media outlets in the public sphere is considered crucial in the context of discursive opportunities for political mobilization, whereby the presence of discursive elements of populist radical right communication in mainstream media is understood as empirical evidence for the visibility of populist radical right politics. We analyze first the characteristics of media discourses. We then identify the positions of radical right media products in relation to mainstream media. Using network analysis as a methodological approach, we evince the differences and similarities pertaining to the location of radical right media in the wider network architecture of the public spheres in Hungary and Romania.","",""
"2017","Mediatized Populisms| Exuberant Politics on the Internet: Two Forms of Popular Politics in South Korea’s 2008 “Beef Protests”","This study examines South Korea’s “beef protests” of 2008, with a focus on how these Internet-born popular protests challenged and overcame a populism anchored in the political elite. In the 2007 presidential election, conservative Lee Myung-bak won a landslide victory with an appeal to national and individual prosperity. However, immediately after his election, a popular uprising took place in South Korea when Lee decided to import American beef despite broad concern about mad cow disease. This article examines the process whereby South Korea’s young Internet users swiftly turned from advocates to critics of Lee and mobilized for nationwide protests against him and against the Korea–U.S. free trade agreement. Drawing from Jacques Ranciere’s concepts of  police  and  dem os, I argue that the course of these events points to two dynamics of populism. First, populism succeeds when a politician or issue captivates public desires by metonymically embodying these desires. Second, in such cases, the public’s desire cannot be fully represented or contained by traditional political institutions, and politics created from below lead to exuberant politics that defy institutional politics.","",""
"2017","It’s us against them: a comparative experiment on the effects of populist messages communicated via social media","ABSTRACT Populism has gained momentum all around the globe. Social media channels contribute to the success of populism by providing an attractive environment for both politicians and ordinary citizens to disseminate their political ideas. Building on previous research, this study argues that attributing blame to culprit others, such as immigrants or the political elites, for causing major societal problems facing the ordinary people is central to populism. By employing a 2 × 2 between-subjects comparative survey experiment, we investigated the effects of these blame attributions in populist online messages on citizens’ exclusionist and anti-establishment populist attitudes in two Western European countries, Austria and the Netherlands (N = 646). Additionally, for the first time in extant research, we distinguished between populist politicians and ordinary citizens as communicators of populist messages. Results revealed that messages blaming the elites or immigrants bolstered citizens’ populist attitudes, but only for those who supported the source of the message. For those who opposed the source, in contrast, populist blame attributions reduced populist attitudes. These findings help us to understand how the core element of pervasive populist messages – attributing blame – affects the populist attitudes of which citizens.","",""
"2017","Populist online practices: the function of the Internet in right-wing populism","ABSTRACT This article develops a theoretical classification of functions of different Internet applications and plattforms in right-wing populism. Its aim is to understand how the Internet is seen and used by populists and how it contributes to populism. Online communication by both populist leaders or organizations and non-organized actors is discussed. Main functions include the representation of the relationship between leaders and ‘the people,’ justifying the exclusion of outgroups, the conceptual elaboration of the right-wing populist ideology, developing a right-wing populist lifestyle and identity, and circumventing the traditional media.","",""
"2017","When populists become popular: comparing Facebook use by the right-wing movement Pegida and German political parties","ABSTRACT Previous research has acknowledged the use of social media in political communication by right-wing populist parties and politicians. Less is known, however, about its pivotal role for right-wing social movements which rely on personalized messages to mobilize supporters and challenge the mainstream party system. This paper analyzes online political communication by the right-wing populist movement Pegida and German political parties. We investigate to which extent parties attract supporters of Pegida, to which extent they address topics similar to Pegida and whether their topic use has become more similar over a period of almost two years. The empirical analysis is based on Facebook posts by main accounts and individual representatives of these political groups. We first show that there are considerable overlaps in the audiences of Pegida and the new challenger in the party system, AfD. Then we use topic models to characterize topic use by party and surveyed crowdworkers to which extent they perceive the identified topics as populist communication. The results show that while Pegida and AfD talk about rather unique topics and smaller parties engage to varying degrees with the topics populists emphasize, the two governing parties CDU and SPD clearly deemphasize those. Overall, the findings indicate that the considerable attention devoted to populist actors and shifts in public opinion due to the refugee crisis have left only moderate marks in political communication within the mainstream party system.","",""
"2017","Helping populism win? Social media use, filter bubbles, and support for populist presidential candidates in the 2016 US election campaign","ABSTRACT Undoubtedly, populist political candidates from the right and the left, including Donald Trump and Bernie Sanders, changed the tenor and direction of the 2016 presidential contest in the US. Much like Barack Obama’s electoral successes that were credited at least in part to his savvy social media campaigning in 2008 and 2012, since Trump’s victory, the notion that social media ‘helped him win’ has been revitalized, even by Trump himself [McCormick, R. (2016a). Donald Trump says Facebook and Twitter ‘helped him win’. The Verge. Retrieved from http://www.theverge.com/2016/11/13/13619148/trump-facebook-twitter-helped-win]. This study therefore explores citizen support for populist and establishment candidates across the ideological spectrum in the US to specifically examine if using social media was related to an increased likelihood of supporting populist presidential political candidates, including Trump. Differing forms of active, passive, and uncivil social media were taken into account and the findings suggest active social media use for politics was actually related to less support for Republican populists, such as Trump, but that forms of both passive or uncivil social media use were linked to an increase in the likelihood of support to a level roughly equivalent to that of the traditional television viewing. These patterns are almost the inverse of support for Democratic populists, in this case namely Sanders.","",""
"2017","Extreme parties and populism: an analysis of Facebook and Twitter across six countries","ABSTRACT Parties are adapting to the new digital environment in many ways; however, the precise relations between populist communication and social media are still hardly considered. This study compares populist communication strategies on Twitter and Facebook employed by a broad spectrum of left-wing, center, and right-wing political actors in six Western democracies. We conduct a semi-automated content analysis of politicians’ social media statements (N = 1400) and find that populism manifests itself in a fragmented form and is mostly used by political actors at the extremes of the political spectrum (both right-wing and left-wing), by opposition parties, and on Facebook.","",""
