"year","title","abstract","journal","doi"
"2000","VIRTUAL COMMUNITY CARE? SOCIAL POLICY AND THE EMERGENCE OF COMPUTER MEDIATED SOCIAL SUPPORT","This article argues that the emergence and growth of internet use in Britain has important implications for the analysis of social policy. It attempts to outline a research agenda for social policy in relation to one particular aspect of internet use, that of on-line self-help and social support – what we term here virtual-community care . The article presents data on patterns of home based internet use in Britain and outlines some contemporary debates in social policy about the importance of self-help and social support. It also considers how the internet is being used for self-help and social support with a particular emphasis on the emerging situation in Britain. Three illustrations of on-line self-help and social support are presented: two from newsgroups, which are part of the ‘uk.people.* hierarchy’: one concerned with disability and one with parenting issues; and one web based forum concerned with issues surrounding mortgage repossession. Drawing upon this illustrative material the article discusses some emergent issues for contemporary social policy discourse: the rise of self-help groups; the privileging of lay knowledge and experience over the ‘expert’ knowledge of health and welfare professionals; the nature of professional-client relationships; the quality and legitimacy of advice, information and support; dis/empowerment; and social exclusion.","",""
"2000","Identifying Temporary and Permanent Gaps in Universal Service","This article examines the nature of the gap in household telephone penetration among Whites, Blacks, and Hispanics. By analyzing historic and current penetration levels of the radio, television, and telephone, it suggests that most information technology gaps are amalgamations of smaller socioeconomic trends and can be discerned and reduced only with careful historical analysis of both technology choices and living patterns. It proposes localized universal service strategies, since the penetration gaps are affected by a complex array of factors more particular to localities than to the country as a whole and as such must be investigated with rigor and caution if progress toward the elimination of penetration gaps is to occur.","",""
"2000","The digital divide in the liberal state: A Canadian perspective","The """"digital divide"""" has emerged as a public policy challenge. This paper examines universal access public policy development in Canada within a North American context and its implications for addressing the digital divide. It concludes that the digital divide will not be eliminated either through public policy or the market due to the liberal public philosophy that is unique to and so strong in North America. The concept of the digital divide represents the dual structure characteristic of North American liberal social welfare policy.","",""
"2000","Socially grounded user studies in digital library development","In order for public libraries to ameliorate the """"digital divide"""" in their local communities, this paper presents a socially grounded and participative process for facilitating access to networked digital information for marginalized groups. Through the Afya Project, a participatory action research approach to digital library design is taken that targets the barriers in access to health information and services experienced by African American women in the community. SisterNet, a local grassroots social network of African American women committed to addressing physical, emotional, intellectual, and spiritual health issues, is a partner for the Afya Project. SisterNet has played a significant role in recruiting African American women as community action researchers to participate in data collection and analysis related to the development, implementation, and assessment of Web-based resources. Use scenarios in socially grounded user studies are being employed as a key methodological technique to design culturally appropriate and usable Web-based health information services that will help African American women in the community achieve their vision of better health.","",""
"2001","The Digital Divide"," The digital divide represents an important social problem accompanying the diffusion of the internet in the USA, and in other nations. Theoretically, the digital divide is closely related to conceptualisations, and the considerable past research, on the knowledge gap hypothesis. The digital divide is the gap that exists between individuals advantaged by the internet and those individuals relatively disadvantaged by the internet. Here we synthesise available findings about socio-economic and other characteristics of individuals who are users and non-users of the internet, explore data about whether the digital divide is widening, and discuss strategies for bridging the digital divide. We suggest that the access-divide, which has received the most attention to date, may eventually be replaced by a learning- divide, a content-divide, and by other types of divides through which the internet will continue to advantage certain individuals, and disadvantage others. ","",""
"2001","Afya: Social and digital technologies that reach across the digital divide","This paper presents initiatives taken in the Afya project towards bridging the digital divide through social and digital literacy, equitable access, training, and content initiatives at the community level. As a participatory action research project, Afya (Swahili for """"health"""") is designed to engage African American women in assessing and increasing their access to quality health information and services. Based on principles of social justice, the project is geared towards redefining relationships and achieving constructive social change at a community-wide level.","",""
"2001","Reaching across the divide: The challenges of using the Internet to bridge disparities in access to information","Over the past few years, the Internet has rapidly become part of the daily lives of most people in the first world. This trend in easy access to unlimited information resources for first world users mirrors the growing 'central-peripheral divide' in the developing world: the concentration of wealth in the major urban centres and the increasing marginalisation of people in the peri-urban and rural areas. The result of both trends is that the majority of the world's population, particularly on the African continent, has limited access to most information resources.  The Internet provides the opportunity to reach a broader cross-section of the virtual community of all those concerned with the issues of violence, crime, reconciliation, human rights and transformation, whilst at the same time, the challenge of resisting the (re)marginalisation and exclusion of grassroots constituencies who have limited skills and access to these resources.  The Centre for the Study of Violence and Reconciliation (CSVR) is a multi-disciplinary South African non-governmental organisation. Drawing on the experience of making the CSVR's 13 years of research available online, this paper traces the balancing act that has been required in reaching across the divide, and details some of the design challenges that have presented themselves. It explores the phenomenon of """"graceful degradation"""", and examines some of the challenges facing NGOs using this exciting new medium.","",""
"2002","The Digital Divide: Facing a Crisis or Creating a Myth, edited by B. M. Compaine. Cambridge and London: MIT Press, 2001. xvii + 357 pp., $29.95. ISBN 0-262-53193-3.","The moniker of the digital divide may very well end up having  lled a historical lacuna, like the high-school movement of the 1920s. Debate has steadily shifted from gauging who has access to x technology to understanding what applications will bene t society—and from conversations about use patterns to deeper analyses of the impact and outcomes witnessed from the domestication of information technologies. In this light, The Digital Divide provides an intriguing historical snapshot and some enduring theoretical insights. The book also has historical resonance given the discontinuities apparent in the current economic and political climate. The precipitous economic downturn has undermined the argument of the book’s technological optimists who viewed the 1990s heyday markets as the unassailable vanguard in spreading digital opportunity to all Americans. The nation’s political makeover in 2001, moreover, has also delivered a clean blow to the policies of the past, since the term “digital divide” appears to be persona non grata in the Bush Administration, too heavily laden with the redistributive tenor of the largely Clinton–Gore-endorsed digital divide agenda. The book’s relevance is also tethered to the rapid pace of technological diffusion, particularly the chapters describing the latest statistics and data regarding the state of the technology gap. Given that Internet time and Web years  y by, attempts to capture the freshest market research in book form amounts to a losing proposition . Already, the “Falling through the Net” data from the U.S. Department of Commerce captured in the epilogue have been superseded, and hardly a whisper is heard from contributing authors about leading-edge wireless broadband information and communications vehicles, such as thirdgeneration wireless or Ka-band satellite, both of which afford great opportunitie s as well as posing considerable hurdles to communities that are unable to afford or avail themselves of these new services. Some good debates are sown and interesting theoretical insights are made in the book’s middle. Milton Mueller’s article equating universal service policy with wealth redistribution makes an important contribution , yet his argument regarding the merits of a market-exclusive infrastructure development strategy remains underdeveloped. Mueller’s position that the most effective universal service policies are those that “build an open, competitive economy” (p. 181) eschews two valid empirical points raised by Mark Cooper and Gene Kimmelman in their chapter. First, rapid industry consolidation has quickly trimmed the playing  eld of viable marketplace competitors. Second, of those communications companies that survive, their deployments tend to shy away from lowincome and rural communities. Cooper and Kimmelman raise the critical concern that it is time we “stop pretending that competition is right around the corner” (p. 203). Markets are obviously critical—but so are the roles of regulators and lawmakers to ensure that the public interest is protected. The editor lays his cards on the table at the outset, attempting to exorcise the digital divide before we have turned the  rst page. Benjamin Compaine suggests that the rise of the Internet is akin to the development of other technologies in the 20th century—such as television and radio—and will continue to roll out most ef ciently if the role of government is neatly circumscribed and market forces are unleashed to foster competition. The editor challenges us to be clear about the bene ts of information and communications tools, before we move into headlong acceptance of them as a basic entitlement. This is an important point for researchers, advocates and policymakers who work on this issue to keep in mind. Unfortunately, the editor in particular and the book’s authors in general offer very little analysis of the impact information and communications technologies are having—say, on economic well-being or educational advancement—to allow","",""
"2002","Exploring the Future of the Digital Divide through Ethnographic Futures Research"," This study examines leaders who work for social change in an information society. Grounded in the notion that leadership and social change are necessarily future oriented, this study attempts to learn how those who lead the effort to ameliorate the digital divide in Washington State perceive the optimistic, pessimistic, and most probable futures. In this study, the digital divide is framed as a social problem that is caused, in part, by inequities in the ability to access and to use information communication technologies. Furthermore, this study is concerned that the digital divide impacts the opportunities for participation in social and economic arrangements, which may be a threat to social and economic justice.  Although the scope of the digital divide is global, this study narrows its focus in three ways. First, the digital divide is explored only within the context of Washington's sociocultural system. Second, only the perspectives of those who lead efforts to bridge the digital divide were sought. Third, only perceptions and cognitions of possible future sociocultural systems were explored.  The method used in this study is called Ethnographic Futures Research (EFR). EFR is a type of ethnography adapted for use in studying perceptions of a culture's future. Thirteen individuals who lead various efforts to bridge the digital divide in Washington State were interviewed using the EFR method. In each interview, three possible scenarios (optimistic, pessimistic, and most probable) of Washington State's sociocultural system set in the year 2016 were elicited. The interviewees then provided recommendations of what action is required to render the optimistic scenario more probable by the year 2016. The digital divide was discussed within the context of the future sociocultural systems described in the three scenarios and the recommendations.  The findings of this study include a) multiple definitions of the digital divide; b) descriptions of the forces perceived to be driving the digital divide; and, c) suggestions for future efforts to ameliorate the digital divide. A general discovery made by this study is that significant optimism exists that Washington State will build and maintain a more just and equitable sociocultural system in the future. ","",""
"2002","Reconceptualizing the Digital Divide","This paper examines the concept of a digital divide by introducing problematic examples of community technology projects and analyzing models of technology access. It argues that the concept provides a poor framework for either analysis or policy, and suggests an alternate concept of technology for social inclusion. It then draws on the historical analogy of literacy to further critique the notion of a divide and to examine the resources necessary to promote access and social inclusion.","",""
