"year","title","abstract","journal","doi"
"2000","CONCLUSION","","",""
"2000","Logo love and its critics","","",""
"2000","In memoriam - Marjorie Ferguson, 1929-99","","",""
"2000","The creative landscapes column: Concerns","","",""
"2000","Equals (2002) by Adam Phillips","","",""
"2000","Movements: Response to Paul Bowman","","",""
"2000","First Monday News","","",""
"2000","First Monday Interviews: Louise Addis","","",""
"2000","Why Not Lie?","","",""
"2000","Go with the Flow","","",""
"2001","Troy Kennedy Martin","","",""
"2001","Crossing “The Line”","","",""
"2001","Ten Lessons We Learned from Herb","","",""
"2001","“Now You're Living”","","",""
"2001","CADE 2001: Crossing the Border","","",""
"2002","Index to Volume 24 2002","","",""
"2002","Notes for a Critical Reflection on Emilia-Romagna and Bologna","","",""
"2002","Next Stop: Multimodality","","",""
"2002","Response to Alexander Cooke","","",""
"2002","Different (2002) by Stuart Hall and Mark Sealy","","",""
"2002","Index to volume 7 (2002) of First Monday"," None available ","",""
"2002","In Dedication: Sharon Hogan, 1945-2002","","",""
"2002","The Cassandra of Postcinema","","",""
"2002","September 2001","","",""
"2002","A Place for the Spectator","","",""
"2003","Notes on Contributors","This article does not have an abstract","",""
"2003","Notes on Contributors","This article does not have an abstract","",""
"2003","Notes on Contributors","This article does not have an abstract","",""
"2003","Notes on Contributors","This article does not have an abstract","",""
"2003","Introduction","","",""
"2003","Will Hutton: The world we're in","","",""
"2003","Ackeracy in Reporting (Last Supper in Santa Barbara by Paolo Veronese)","","",""
"2003","AlternateInterfaces: Stelarc (2003)","","",""
"2003","On theNatural History of Destruction (2003) by W. G. Sebald","","",""
"2003","Wavespeech, Tapespeech, Blipspeech","","",""
"2003","Studying Up","","",""
"2003","Introduction","","",""
"2003","Introduction","","",""
"2004","Index to Volume 26 2004","","",""
"2004","Nomos, Nosos and Bios","","",""
"2004","Wetwares: Experiments in Postvital Living (2003) by Richard Doyle","","",""
"2004","Osmose and Ephemere (2003-4) by Char Davies","","",""
"2004","Index to volume 8 (2003) of First Monday","","",""
"2004","Introduction: FLOSS at Large"," None available ","",""
"2004","FM Interviews: McKenzie Wark","","",""
"2004","Index to Volume 6","","",""
"2004","Introduction","","",""
"2004","Announcement","","",""
"2005","The Robert Graves Diary (1935-39)","","",""
"2005","Index to Volume 27 2005","","",""
"2005","Value creation or meaning construction?","","",""
"2005","Simple support for mobile workers and users","","",""
"2005","The Agder story","","",""
"2005","The dynamism of 2channel","","",""
"2005","Index to Volume 11","","",""
"2005","Introduction","","",""
"2006","Backward looks: mediating the past","","",""
"2006","Preface","","",""
"2006","We have always been transgenic","","",""
"2006","Preliminary comments on the amalgamation of togetherness and distance","","",""
"2006","Annual Index","","",""
"2006","Community: Commme-un?","","",""
"2006","Stelarc: The Monograph","","",""
"2006","Introduction: Contingency and Control Online","None Available","",""
"2006","K-12 encounters the Internet","None Available.","",""
"2006","Preface","None Available.","",""
"2007","Interview with Fritjof Capra","","",""
"2007","Worth a Second, or a First Look","","",""
"2007","Worth a Second, or a First Look","","",""
"2007","Worth A Second, or a First Look","","",""
"2007","Unwearables","","",""
"2007","Conference Keynote Address","None Available","",""
"2007","FM Interviews: Sandra Braman","None available.","",""
"2007","Preface","None Available","",""
"2007","Stewarding potential","None Available","",""
"2007","Welcome to WebWise","None Available","",""
"2007","Keynote address: Envisioning American art 2.0","None Available","",""
"2007","Introduction","None Available","",""
"2007","Conference Keynote Address","None Available","",""
"2007","Preface","None Available","",""
"2008","John Peters: Courting the Abyss","","",""
"2008","Mladen Dolar: A Voice and Nothing More (Short Circuits)","","",""
"2008","Minding the Galison Gap","","",""
"2008","Putting Humpty Together Again: Otto Ege’s Scattered Leaves","","",""
"2008","One Divides Into Two","","",""
"2008","Gins, Arakawa and the Undying Community","","",""
"2008","8 Track Rhapsody","","",""
"2008","The Task of the Transgressor","","",""
"2008","On Being Critical","","",""
"2008","The technical evolution of Vannevar Bush's Memex","","",""
"2009","Pro-active meeting assistants: attention please!","","",""
"2009","Source Material Everywhere: The Alfred North Whitehead Remix","","",""
"2009","Review of Klein, Mark. 2009. Wiring Up The Big Brother Machine… And Fighting It. Charleston, South Carolina: BookSurge","","",""
"2009","Biber's Captive Images","","",""
"2009","Recent Thoughts on Panoptic Cruft (fragments)","Notes from the project, Panopticon Cruft.","",""
"2009","panegyric 6.6","Poem","",""
"2009","Ceyhan's Identifier et Surveiller","","",""
"2009","Deibert at al.'s Access Denied","","",""
"2009","Wald's Contagious","","",""
"2009","Andrejevic's iSpy","","",""
"2009","An olive branch to Hier and Greenberg","","",""
"2009","Roof's The Poetics of DNA","","",""
"2009","Rigakos' Nightclub","","",""
"2009","Review Article: Uneven accelerations","","",""
"2009","It Takes a Village","","",""
"2009","“Same Same but Different”","","",""
"2009","Wind(fall) from the East","","",""
"2009","If You Can't Join Them, Beat Them","","",""
"2009","Picture Problems: X-Editing Images 1992-2010.","","",""
"2009","The Ends of Editing.","","",""
"2009","The Poetess Archive Database.","","",""
"2010","Frenchy Lunning (Ed.): Mechademia Volume 4: War/Time","","",""
"2010","Michael Awkward: Burying Don Imus: Anatomy of a Scapegoat","","",""
"2010","ERRATUM","ERRATUM De Marzo AM, Platz EA, Epstein JI, Ali T, Billis A, Chan TY, Cheng L, Datta M, Egevad L, Ertoy-Baydar D, Farree X, Fine SW, Iczkowski KA, Ittmann M, Knudsen BS, Loda M, Lopez-Beltran A, Magi-Galluzzi C, Mikuz G, Montironi R, Pikarsky E, Pizov G, Rubin MA, Samaratunga H, Sebo T, Sesterhenn IA, Shah RB, Signoretti S, Simko J, Thomas G, Troncoso P, Tsuzuki TT, van Leenders GJ, Yang XJ, Zhou M, Figg WD, Hoque A, Lucia MS. A working group classification of focal prostate atrophy lesions. Am J Surg Pathol. 2006;30:1281–1291.","",""
"2010","Using mixed methods to discover emergent patterns of local eDemocracy","","",""
"2010","Kaj Elgstrand and Nils F. Petersson (editors): OSH for development","","",""
"2010","Three Interviews","","",""
"2010","Anatomy of Optics and Light","","",""
"2010","Hideous Gnosis: Black Metal Theory Symposium (2010) ed. by Nicola Masciandaro","","",""
"2010","Review of Thompson and Genosko's Punched Drunk","","",""
"2010","Review of Mayer-Shonberger’s Delete","","",""
"2010","Review of Klein's Wiring Up the Big Brother Machine...And Fighting It.","","",""
"2010","Review of Andrzejewski’s Building Power","","",""
"2010","Review Article: Sound studies is still tuning in","","",""
"2010","Editor's Introduction","","",""
"2010","Interview with Professor Graeme Turner, University of Queensland, November 9, 2007","","",""
"2010","Twisty Little Passages Almost All Alike: Applying the FRBR Model to a Classic Computer Game.","","",""
"2011","Plenary| Sweet Lemons","","",""
"2011","Subsidium: Master List of REKn Primary Sources","","",""
"2011","The Rey Chow Reader (2010) ed. by Paul Bowman","","",""
"2011","Review of Mountz's Seeking Asylum","","",""
"2011","Review of Natapoff's Snitching","","",""
"2011","Review of Marton's Enemies of the People","","",""
"2011","Review of Gandy's Coming to Terms with Chance","","",""
"2011","Review of Jensen’s Cautious Beginnings","","",""
"2011","Review of Hier's Panoptic Dreams","","",""
"2011","More is less","","",""
"2011","Thank You to NM&amp;S reviewers, 2010","","",""
"2012","Hammers, nails, sealing wax, string and gunpowder!","","",""
"2012","GP—We play the world—What do you play?","","",""
"2012","SQC and the fluency hypothesis","","",""
"2012","Vibration matters: collective blue morph effect","","",""
"2012","Safety Certificate: an audification performance of high-speed trains","","",""
"2012","Tripping through runtime","","",""
"2012","Atmospherics/Weather Works","","",""
"2012","Introduction to Antiphilosophy (2012) by Boris Groys","","",""
"2012","Review of Mirzoeff's The Right to Look","","",""
"2012","Review of Bajc and de Lint's Security and Everyday Life","","",""
"2012","Review of Doyle, Lippert and Lyon's Eyes Everywhere","","",""
"2012","Review of Arribas-Ayllon, Sarangi and Clarke's Genetic Testing","","",""
"2012","Review of Bruno, Kanashiro and Firmino’s Vigilância e Visibilidade: Espaço, tecnología e identificação","","",""
"2012","Review of AppAlchemy 1: The essentials","","",""
"2012","Yeah You Rite","","",""
"2012","Business as Usual","","",""
"2012","The Materialities of Close Reading: 1942, 1959, 2009.","","",""
"2013","Introduction","","",""
"2013","Introduction","","",""
"2013","From A to &lt;A&gt; Keywords of Markup","","",""
"2013","INTRODUCTION TO SPECIAL ISSUE","","",""
"2013","Crosscurrents","","",""
"2013","An appreciation","","",""
"2013","Morphogenesis, morphology and men: pattern formation from embryo to mind","","",""
"2013","Circumvention","","",""
"2013","Preface","","",""
"2013","Editorial: 25th anniversary volume 28.1","","",""
"2013","Cylons, Gaylons and Gay Grammar:","","",""
"2013","Caracolomobile: affect in computer systems","","",""
"2013","Review of Braverman's Zooland","","",""
"2013","Blog Theory: Feedback and Capture in the Circuits of Drive","","",""
"2013","cut to fit the tool-spun course.","","",""
"2013","And the Last Shall Be the First","","",""
"2014","Abbreviated Curriculum Vitae of David B. Gracy II","","",""
"2014","Introduction","","",""
"2014","Introduction","","",""
"2014","Live methods","","",""
"2014","Introduction: At the Crossroads","","",""
"2014","The choices people make: the types of buddy icons people select for self-presentation online","","",""
"2014","Species classification of aquatic plants using GRNN and BPNN","","",""
"2014","International comparison of bubbles and bubble indicators","","",""
"2014","The Flood Is Elsewhere","","",""
"2014","Speculate This! (2013) by Uncertain Commons","","",""
"2014","Traveling through Remembrance as Praxis with Disability Baggage","","",""
"2014","Review of Larsen and Walby's 'Brokering Access'","","",""
"2014","Review of Andrejevic's Infoglut","","",""
"2014","Review of Zurawski’s Raum – Weltbild – Kontrolle. Raumvorstellungen als Grundlagegesellschaftlicher Ordnung und ihrer Überwachung","","",""
"2014","Buy it now: Lessons from eBay","","",""
"2014","J. M. Coetzee's Work in Stylostatistics.","","",""
"2015","The Index and the Moon: Mortgaging Scientific Evaluation","","",""
"2015","Where we've been and where we are going","","",""
"2015","Introduction",",","",""
"2015","Study on design of Shikake for landscape foreignization","","",""
"2015","ADRs and underlying stock returns: empirical evidence from India","","",""
"2015","An anatomy of shikakes","","",""
"2015","Tag line generating system using knowledge extracted from statistical analyses","","",""
"2015","Surfeit and surface"," “Would you like another EXTRA BIG ASS FRIES?” (Carl's Jr computer, Idiocracy) ","",""
"2015","Introduction to the Inaugural Issue","The editorial board introduces the inaugural issue of Catalyst. The first issue demonstrates the scope of Catalyst's intellectual and political vision.","",""
"2015","Mechanization Takes Command: A Contribution to Anonymous History (2013) by Sigfried Giedion","","",""
"2015","Vaporents: Inhuman Orientations","","",""
"2015","Perspective: Vague Ideas, Clear Images","","",""
"2015","TypeWright: An Experiment in Participatory Curation.","","",""
"2015","Orientation: """"Man and His Tool, Again?"""".","","",""
"2015","Studying Up: A Review of Alice Marwick's Status Update .","","",""
"2015","FCJMESH-010 : Getting Open Development Right","","",""
"2015","FCJ-187 The Droning of Experience","","",""
"2015","FCJ-182 Middlebroware","","",""
"2016","The Multiple Meanings of a Flowchart","","",""
"2016","Distribution of Maximum and Minimum of K-µ-g Random Variables","","",""
"2016","<i>Crowdsourcing</i>, by Daren C. Brabham","","",""
"2016","The great WARC adventure: Using SIPS, AIPS, and DIPS to document SLAPPs","This article is made available under the terms of the Creative Commons Attribution 3.0 United States license, https://creativecommons.org/licenses/by/3.0/us/. The article has been modified from it's original displayed format on the web to be provided in PDF format. The content of the article remains unchanged.","",""
"2016","The Rise and Fall Tool-Related Topics in &lt;em&gt;CHum&lt;/em&gt;","","",""
"2016","Introduction","","",""
"2016","I Think it Worked Because Mercury was in the House of Jupiter!","","",""
"2016","Beyond the age of innocence","","",""
"2016","Openness and stability","","",""
"2016","Call for papers: Ethicomp/CEPE 2017","","",""
"2016","Introduction","","",""
"2016","Review of Browne's Dark Matters","","",""
"2016","How do we get to the Humanitarium from here","","",""
"2017","To preempt a thief","","",""
"2017","Tim Wu, The Attention Merchants: The Epic Scramble to Get Inside our Heads","","",""
"2017","Vilém Flusser, Gestures","","",""
"2017","Victor Roudometof, Glocalization: A Critical Introduction","","",""
"2017","Jeffrey Pomerantz, Metadata","","",""
"2017","Frontmatter","","",""
"2017","Gestalt descriptions embodiments and medical image interpretation","","",""
"2018","<i>Minitel: Welcome to the internet</i>","","",""
"2018","Introduction","","",""
"2018","Introduction","","",""
"2018","“Brexit for Beginners”, or “The Young Gentlemen of Etona”","","",""
"2018","Can small groups avoid the tragedy of the commons?","","",""
"2018","Review of Brilliant Imperfection by Eli Clare (Duke University Press, 2017)","N/A","",""
"2018","The Hard Disciplines","","",""
"2018","Convergence Special Issue","","",""
"2018","Postscript","","",""
"2018","Review of Ring, Steiner, and Veel's Architecture and Control","","",""
"2018","Musée du Quai Branly: The Heart of Darkness in la Cité de la Lumière","","",""
"2018","Predicting the past","","",""
"2019","Thanks to reviewers","Matthew Allen, Deakin University, Australia Val erie Beaudouin, TELECOM ParisTech, France Anat Ben David, Open University of Israel, Israel Eleonora Benecchi, Universita della Svizzera Italiana, Switzerland Isabelle Borucki, Universitat Duisburg-Essen, Germany Paolo Bory, Universita della Svizzera Italiana, Switzerland Niels Br€ ugger, Aarhus University, Denmark Jean Burgess, Queensland University of Technology, Australia Fr ed eric Clavert, Universite du Luxembourg, Luxembourg Sean Cubitt, Goldsmiths University of London, United Kingdom Morgan Currie, The University of Edinburgh, United Kingdom Kevin Driscoll, University of Virginia, USA William Dutton, Michigan State University, USA Paul N. Edwards, Stanford University, USA Greg Elmer, Ryerson University Faculty of Communication and Design, Canada Andy Famiglietti, West Chester University, USA Bradley Fidler, Stevens Institute of Technology, USA Gerard Goggin, University of Sydney, Australia Thomas Haigh, University of Wisconsin Milwaukee, USA Alexander Halavais, Arizona State University, USA Eszter Hargittai, University of Zurich, USA Isadora Hellegren, McGill University, Canada Anne Helmond, University of Amsterdam, Netherlands Alexandre Hocquet, Universite de Lorraine, France Andrea Horbinski, University of California Berkeley, USA Hugo C. Huurdeman, University of Oslo, Norway Timothy Libert, Carnegie Mellon University, USA Fenwick McKelvey, Concordia University, Canada Sarah Meyers West, AI Now Institute, USA Ian Milligan, University of Waterloo, Canada Hallvard Moe, University of Bergen, Norway Francesca Musiani, Centre National de la Recherche Scientifique, France, Marta Musso, King’s College London, United Kingdom Janne Nielsen, Aarhus University, Denmark","",""
"2019","If … Then","","",""
"2019","Erratum","The human RCTEC/RCTE cell stocks used here (1) and in (2,3) were originally provided by Dr. Loghman-Adham (then at St. Louis University) to co-author Dr. Wandinger-Ness (University of New Mexico) through an MTA in 2001. The SV40 immortalized human RCTEC/RCTE cells were characterized as being of distal tubule cell line as detailed in (4). On the basis of recent short tandem repeat (STR) DNA sequencing (Performed by IDEXX BioResearch) of the earliest passages of the RCTEC/RCTE cell stocks it became evident the cells were of mixed lineage. Further analyses of PCR products using QIAxcel capillary electrophoresis demonstrated the presence of a canine product. The product was sequenced and established to be of canine origin. A set of canine specific STR markers were compared to the sample and showed that the sample had a genetic profile with 92% identity to the MDCK cell line. Later cell stocks that were used in the present publication were STR profiled and showed drift to 100% MDCK lineage. Despite being of canine origin, rather than human as was previously thought, MDCK is similarly a distal tubule epithelial cell line. For this reason, previous interpretation and conclusions drawn using these cells in (1–3) remain sound, but for purposes of rigor, reproducibility and experimental validation by others we report on this misidentification. This information will also be reported for listing on the International Cell Line Authentication Committee (ICLAC) database (http://iclac.org).","",""
"2019","Introduction","","",""
"2019","Introduction","","",""
"2019","Should I kill or rather not?","","",""
"2019","Introduction to The Last Dream by Joseph Weizenbaum","","",""
"2019","A long-standing encounter","","",""
"2019","I in an other’s eye","","",""
"2019","From Bacteria to Bach and Back","","",""
"2019","Plantarium","This is the introduction to the special section.","",""
"2019","A Tree Walks through the Forest: Milkwoods and Other Botanical Witnesses","","",""
"2019","Introduction to Crip Technoscience Roundtable","Introduction","",""
"2019","Rethinking Affordance","This article introduces the special issue 'Rethinking Affordance'. ","",""
"2019","Paid: Tales of Dongles, Checks, and Other Money Stuff","","",""
"2019","Why 2K","","",""
"2019","FCJ-223 Fugitively, Approximately","","",""
"2019","FCJ-222 Introduction: Incalculable Experience","","",""
"2019","FCJ-228 University, Universitas","","",""
"2019","Margulis, Autopoiesis, Gaia","","",""
"2020","Andrew Lison, Marcell Mars, Tomislav Medak, and Rick Prelinger, Archives (In Search of Media)","","",""
"2020","A new beginning","","",""
"2020","Title","","",""
"2020","The Trade Educators’ Syndicate","","",""
"2020","Made in the Russian North","","",""
"2020","Introduction","","",""
"2020","The Craft of Small Wind Turbine Making","","",""
"2020","Czech DIY","","",""
"2020","Introduction","","",""
"2020","The missing G","","",""
"2020","Follow the Money. Follow the Bodies. Follow the Design","Afterword to the Special Section on Computing in/from the South","",""
"2020","An Alternative to Facts","","",""
"2020","Introduction: The State of Sousveillance","Introduction to Dialogue section on """"The State of Sousveillance.""""","",""
"2020","Short Circuits/Closed Circuits","","",""
"2020","Review of Jones' Ctrl+Z: The Right to Be Forgotten","","",""
"2020","Reviewer list for 22(1)","","",""
"2020","The Fibreculture Journal","","",""
"2021","Becoming one’s own Polaroid","","",""
"2021","Introduction","","",""
"2021","Seeing Like a Border","","",""
"2021","Introduction","","",""
"2021","Nudged to Normal","","",""
"2021","Black Squares and Gucci","","",""
"2021","Citizenship as the exception to the rule: an addendum","","",""
"2021","The wiseman in the mirror","","",""
"2021","The inside out mirror","","",""
"2021","A Māori Approach to Starting Research from Where You Are","","",""
"2021","Donna Haraway and Banu Subramaniam in Conversation (April 22, 2021—excerpt)","","",""
"2021","The Conspiritualist","","",""
"2021","Review of Sarat, Douglas, and Umphrey’s Law and the Visible","","",""
"2021","Reviewer acknowledgements for volume 20","","",""
"2022","Thomas, J., Wilken, R., &amp; Rennie, E. (2021).  Wi-Fi . Cambridge: Polity press","","",""
"2022","Non-fungible tokens","","",""
"2022","Non-user","","",""
"2022","Against the Norm","","",""
"2022","Title","","",""
"2022","Introducing Science through Images","","",""
"2022","Introduction","","",""
"2022","Web Search Fever and Collecting as the Human Condition","","",""
"2022","A Slightly Off Performance","","",""
"2022","Born free: a tale of two rivers","","",""
"2022","A note from the editors","","",""
"2022","First Monday","","",""
"2022","Reviewer acknowledgements for volume 23","","",""
"2023","Why is it so Complicated?","","",""
"2023","The Questions Are Still Good","","",""
"2023","Introduction Frictions","","",""
"2023","Tracing the Seams","","",""
"2023","Title","","",""
"2023","Roots and models","","",""
"2023","On variational cross-examination: a method for postphenomenological multistability","","",""
"2023","SWAMPLAB","","",""
"2023","If I cannot move heaven, I will raise hell","","",""
"2023","The dissolution of the condicio humana","","",""
