"year","title","abstract","journal","doi"
"2001","Internet radio: a case study in medium specificity","","",""
"2013","Performance Analysis of OCDMA System with Unipolar Walsh Coding","The success of a radiofrequency in CDMA depends on well designed bipolar codes with good correlation properties. These sequences of (+1, -1) values exist in the RF domain because the phase of the electromagnetic field can be detected directly. The unipolar optical coding is studied as optical system is nonnegative and unipolar in nature and detects and processes the signal intensity. The strict orthogonality of bipolar Walsh codes shows cross correlations to be equal to zero while auto correlations have large magnitudes. Unipolar Walsh coding have been studied and constructed in the previous published papers. In this work, the performance of the proposed codes has been analyzed and it has been observed that performance is better than modified frequency hopping & Hadamard code, Random Diagonal codes. Theoretical results for SNR and BER and Simulation results are shown.","",""
"2013","A Novel MAI Reduction Method Using Longer M-sequences for Multiuser Detection in DS/CDMA Communication Systems","","",""
"2014","Throughput, Stability and Fairness of Carrier- Sense Multiple Access with Cooperative Diversity","Cooperative diversity has been identified as a potential candidate for boosting the physical (PHY) layer performance of future wireless networks. However, several issues remain open today in the design of an appropriate medium access control (MAC) layer for this type of system. This paper attempts to partially fill this gap by addressing the MACPHY cross-layer design of a class of carrier-sense multiple access protocols where collision-free transmissions are assisted by the potential cooperative retransmission of the remaining silent terminals in the network. Unlike previous works, the analysis is focused on full asymmetrical settings, where terminals experience different channel and queuing statistics. To achieve this goal, a packet reception model is here proposed for cooperative schemes where the relaying phase is activated only when the reception of previous (re)transmissions has failed. Closed-form expressions of correct reception probability are derived for Rayleigh fading channels assuming that correct reception occurs only when the instantaneous signal-to-noise ratio (SNR) exceeds a reception threshold. This reception model allows for a MAC-layer design aware of PHY-layer information, and vice versa, PHY-layer enhancement and activation using MAClayer information. The boundary of the throughput region (i.e., the set of all achievable throughput values) is derived in a parametric closed-form expression using a multi-objective optimization approach. A method for deriving a nonparametric form was further proposed, which allows for a geometric interpretation of the two-user case. Stability features such as backlog user distribution and backlog delay are evaluated by using a novel Markov model for asymmetrical systems. Fairness is evaluated by means of the Gini index, which is a metric commonly used in the field of economics to measure income inequality. The protocol is shown to outperform its non-cooperative counterparts under diverse network conditions that are here discussed.","",""
"2014","Effects of Backscattering and Atmospheric Scintillation on OFDM Based Optical Wireless Communication","","",""
"2014","Performance Evaluation of Relay Selection Schemes in Two-Way AF Relay Networks","In this paper, five relay selection schemes, Non Selection (NS), Optimal Selection (OS), Max-Min Selection (MMS), Max Sum rate Selection (MSS) and Hybrid Selection (HS) are considered. At first, for different number of relays and transmission rates, the outage probability of five relay selection schemes are compared in two-way Amplify and Forward (AF) relay networks. Simulation results show that the performance of MMS, OS and HS schemes are approximately equal and their performances are higher than two other schemes, MSS and NS. These results show the effect of relay selection scheme on two-way AF case which is not exactly the same as results obtained from Decode and Forward (DF) case. As the second part of this research, different power allocation scenarios are examined. Simulation results show that the best power allocation scenario for both AF abd DF relays which offer lower outage probability can be achieved when half of the total power is assigned to the selected relay node and the other half is equally divided between the two transceivers.","",""
"2016","Outage Probability Comparison of MRC, EGC and SC Receivers over Short Term Fading Channels","In this paper, wireless communication systems with maximal ratio combining (MRC) receiver, equal gain combining (EGC) receiver and selection combining (SC) receiver operating over short term fading channels are considered. In analyzed channels, received signal experiences Rayleigh multipath fading. Probability density functions (PDF), cumulative distribution functions (CDF) and level crossing rate (LCR) of output signals are efficiently evaluated and obtained expressions are in closed form. Results for the outage probability are graphically shown to present the influence of diversity techniques on system performance. It is shown that MRC has the best performance and SC technique gives lower performance than MRC and EGC diversity techniques.","",""
"2016","The performance enhancement of OCDMA System based on New Zero Cross Correlation (ZCC) Code with OFDM Modulation","In order to increase the number of users and data rate, and to reduce the impact of multi access interference (MAI), this study propose the optical code division multiple access (OCDMA) systems with orthogonal frequency division multiplexing modulation (OFDM) based on new zero cross correlation (ZCC) code .The system proposed (OCDMA- new ZCC-OFDM) is compared to the (OCDMA-FCC (Flexible Cross Correlation)-OFDM) in term of SNR and BER. The results showed that the proposed system with the new ZCC code displayed improved performance with an increased number of users up to 120%. The system adopted saved around -3 dBm of power at the receiver. In comparison to (OCDMA-FCC-OFDM) system, this improvement is due to the effect of the good auto/cross correlation properties of new ZCC code.","",""
"2016","PAPR Reduction for OFDM System using DCT Based Modified PTS Technique","Though the OFDM provides high data rate due to its high spectral efficiency, it has high PAPR which results in performance degradation and high out of band radiation due to nonlinearity of the high power amplifier. Partial Transmit sequence is one of the distortions-less PAPR reduction techniques which obtain the minimum PAPR signal by multiplying suitable phase factors with subsequenced subcarriers. In order to reduce PAPR even more, autocorrelation among data should be less. So DCT is applied along with PTS technique which has the property of reduction of autocorrelation. In the proposed method DCT is applied before PTS technique and after the PTS technique. The simulation results show that DCT preceding PTS technique has better performance compared to DCT succeeding PTS technique. The analysis of the both the proposed method is carried out with different subcarriers and sub-blocks are discussed.","",""
"2016","Study of Microstrip Antenna Behavior with Metamaterial Substrate of SRR Type Combined with TW","This work aims to characterize microstrip antennas working on microwave band, especially their behavior in frequency band from 6 GHz to 16 GHz, when they are on metamaterial substrate. These microstrip antennas allow their structure miniaturization, which is important to the equipment that uses those antennas. The main characteristic of the metamaterials shows special features of permissiveness and permeability, which are not found in natural state materials, whose main effect is the refraction negative index. Due to these characteristics, the application is allowed in several electromagnetism and optical means.","",""
