"year","title","abstract","journal","doi"
"2000","SOCIAL MOVEMENT NETWORKS VIRTUAL AND REAL","This paper discusses the impact of 'computer mediated communication' (or CMC) on political activism and social movements. CMC may be expected to affect collective action by improving the effectiveness of communication and facilitating collective identity and solidarity. However, the heterogeneity of social movements undermines generic arguments and their relationship to CMC. Accordingly, the potential consequences of CMC on three different types of political organizations are discussed: organizations mobilizing mainly participatory resources, organizations focusing on professional resources, and transnational networks. The potential to build 'virtual [social movement] communities' seems highest among sympathizers of movement organizations who act professionally on behalf of causes with vast resonance among the public opinion and low radical potential. All in all, the most distinctive contribution of CMC to social movements still seems to be instrumental rather than symbolic. Existing bonds and solidarities are likely to generate more effective mobilization attempts than was the case before the diffusion of CMC; it is more disputable though as to whether CMC may create brand new social ties where there were none.","",""
"2000","FROM MEDIA POLITICS TO E-PROTEST","New forms of political expression are often taken as further evidence of the 'cultural turn' within contemporary societies. Taking two recent cases – the use of popular culture in the election campaigns of British political parties (and particularly the Labour Party) and the so-called 'Carnival Against Capital' of June 18th 1999 – this article argues for caution in assuming that such cultural modi vivendi necessarily require culturalist forms of explanation and analysis. Weargue that both established political parties and extra-parliamentary social movements have found new opportunities for political communication and mobilization through media and information technology (particularly the Internet). However, the resource and organizational problems they confront remain the same, as does the familiar instrumental rationality of their actions. Rather than leading us to abandon established analytical tools such as political intermediation, political opportunity structures or resource mobilization, shifting opportunities and conditions require the adaptation and extension of such concepts. In this spirit, we attempt to offer an analysis of the cultural mode adopted by parties and movements without losing sight of their broader goals and motivations.","",""
"2002","New media, new movements? The role of the internet in shaping the ‘anti‐globalization’ movement","Abstract Collective action and social movement protest has become commonplace in our ‘demonstration‐democracy’ and no longer surprises the media or the public. However, as will be shown, this was not the case with the recent anti‐globalization protests that attracted demonstrators from countries all over the world. The battles of Seattle, Washington, Prague and Genoa, with an unforeseen mixture of nationalities and movements, became world news. Interestingly, the new media seemed to play a crucial role in the organization of these global protests. This article maps this movement‐in‐progress via an analysis of the websites of anti‐globalization, or more specifically anti‐neo‐liberal globalization organizations. It examines the contribution of these sites to three different conditions that establish movement formation; collective identity; actual mobilization and a network of organizations. This ongoing, explorative research indicates signs of an integration of different organizations involved and attributes an important role to the Internet. However, whilst both our methodology and subject are evolving rapidly, conclusions, as our initial results show, must be tempered.","",""
"2003","Communicating Global Activism","Many observers doubt the capacity of digital media to change the political game. The rise of a transnational activism that is aimed beyond states and directly at corporations, trade and development regimes offers a fruitful area for understanding how communication practices can help create a new politics. The Internet is implicated in the new global activism far beyond merely reducing the costs of communication, or transcending the geographical and temporal barriers associated with other communication media. Various uses of the Internet and digital media facilitate the loosely structured networks, the weak identity ties, and the patterns of issue and demonstration organizing that define a new global protest politics. Analysis of various cases shows how digital network configurations can facilitate: permanent campaigns; the growth of broad networks despite relatively weak social identity and ideology ties; transformation of individual member organizations and whole networks; and the capacity to communicate messages from desktops to television screens. The same qualities that make these communication-based politics durable also make them vulnerable to problems of control, decision-making and collective identity.","",""
"2003","Hate and peace in a connected world: Comparing MoveOn and Stormfront","What part does the Internet play in social mobilization? The Internet has been hailed as a great potential force to enrich a civil society. Many authors have claimed that the Internet would mobilize grassroots activities. By scrutinizing two particular grassroots activities and their use of the Internet, this article sheds light on conceptualizing the use of the information and communication technologies (ICTs) in mobilizing grassroots activities. The framework may help inform social scientists as well as practitioners who are involved in grassroots activities, and provide a baseline for comparison with future research, which examines mobilization of such activities with the use of the Internet over time.","",""
"2005","Information-Age Guerrillas","&#x0D;         &#x0D; &#x0D;  After balaclava-clad Zapatistas seized control of a handful of southern Mexican towns on New Year’s Eve, 1993, and soon after became implicated in the first wide-scale use of the Internet in a warlike scenario, it was thought that the age of postmodern Internet warfare had arrived. However, while the centrality of the Internet to the movement’s relative success evokes romantic images of Zapatista rebels uploading communiqués onto the World Wide Web from remote mountain hideaways, these myths are dispelled when the impoverished living conditions of its indigenous Maya constituents are taken into account. Instead, the Zapatistas’ presence on the Internet is mediated by NGOs and other support groups who electronically publish hand-written Zapatista communiqués. While this paper demonstrates the political utility of information-age communication strategies for localised struggles for cultural autonomy, it is shown that, for the Zapatistas, these strategies work with, rather than against, traditional print culture.    The Zapatistas, NGOs and the Internet   Soon after the Zapatista uprising began, the New York Times, prompted by the movement’s rapid acquirement of an Internet presence, declared that the world’s first “postmodern revolutionary movement” had appeared in the unlikely location of the southern Mexican state of Chiapas (Burbach 116). Other analyses that investigate the significance of the Internet in the uprising define the EZLN as the world’s “first informational guerrilla movement” (Castells 79), and the “first social netwar” (Ronfeldt et al. 1). After such descriptions were assigned to the EZLN, an image of Zapatista rebels typing e-mails on laptops in remote mountain hideaways featured in many initial media reports. These ideas were still dominating much of the media a year after the uprising when the Mexican President ordered a raid on suspected EZLN hideouts in an attempt to capture the movement’s mestizo spokesperson, Subcomandante Marcos. Media reports at the time claimed that in some of the raids “they found as many computer disks as bullets”. There were also claims that “if Marcos is equipped with a telephone modem and a cellular phone [he could] hook into the Internet [directly] even while on the run, as he is now” (Knudson 509).   However, while the Internet contributed significantly to the advance of the EZLN struggle, this romanticised and mythologised imagery is far removed from the material impoverishment that led to the movement’s uprising and which still characterises the lives of its constituents. Indeed, the Marcos that I saw addressing a crowd in the Mexican city of Puebla during the EZLN’s 2001 March for Indigenous Dignity read his speech from an old-tattered notebook—the old-fashioned printed kind, not one from the Toshiba range. He stumbled over some sections, telling the crowd that it had been smudged by the rain earlier in the day. This may have been a move calculated to enhance the charismatic appeal of the pipe-smoking, poet-guerrilla, but it is also consistent with the impoverished circumstances from which the Zapatistas emanated and within which they continue to struggle.   There is a glaring anomaly between descriptions of the Zapatistas as postmodern or as the initiators of informational guerrilla warfare, or netwar, and the movement’s location in the most remote regions of an impoverished state, which has Internet hubs in only two of its towns and “no telephone or electricity at all in most of the rural areas” (Froehling 291). Indeed, the Zapatistas’ relationship with the Internet is mediated via a support network that, most significantly, includes NGOs. For the Zapatista word to reach a national and international audience the movement had to firstly rely on hand-written documents and old-fashioned means of covert communication whereby messages were     passed secretly from hand to hand, galloped inside a saddle satchel, hidden in a cyclist’s bag, slipped into a backpack, or perhaps thrust inside a sack of beans, then propped in the back of an open truck, crammed with indigenous villagers who make the hours-long journey to the closest market, or doctor, and our messenger to a contact person with Internet access. (Ponce de León xxiii)     The journey of the EZLN’s communiqués from the remote Chiapan highlands to a world-wide audience via its Internet-connected support network has created what Cleaver calls a “Zapatista effect” (1998). This effect demonstrates that by establishing an international electronic web of support, particularly between marginalised groups and NGOs, dominant political, economic and social policies can be effectively opposed and alternatives articulated. The Zapatista uprising marks the first time that the electronic media have been used as a strategy in their own right, producing “an electronic fabric of opposition to much wider policies”, rather than simply facilitating the “traditional work of solidarity” (Cleaver 622). Cleaver claims that this “Zapatista effect” has the potential to permeate and inform social struggles throughout the world and reweave “the fabric of politics” by demonstrating the ability of grassroots movements to form national and international collectives to challenge the power of the nation-state (637).   Investigation into the usefulness of new communication technologies in times of war and struggle has also been the focus of studies conducted for the US army, leading to the development of the concept of  “netwar” (Ronfeldt et al. iii). Ronfeldt et al. contend that, as a result of what they claim is the increasing dependency of contemporary society on information, “more than ever before, conflicts are about ‘knowledge’—about who knows (or can be kept from knowing) what, when, where, and why” (7-8). The study concludes that the EZLN’s development of an NGO support network that could rapidly disseminate reports on human rights abuses, information about the intolerable living conditions endured by indigenous Chiapans, and the EZLN’s communiqués has been crucial to developing the movement’s support base. However, the movement’s establishment of an electronically wired NGO support network able to circulate information about the EZLN, its struggle and its aims relies on the movement’s ability to convey information to them, the “what, when, where, and why”, before it can appear on the Internet and in other media forms. It is not simply the publication and distribution of figures relating to disease, impoverishment and human rights violations that have contributed to people’s interest in, and support for, the Zapatistas. Rather, the intriguing content and style of their discourse, which is heavily indebted to the charismatic figure of Subcomandante Marcos, has also played a crucial role. The writings of Marcos are rich with poetic imagery, humour, symbols of Mayan mythology and references to Latin American and Spanish literary figures and styles, particularly magic realism.    Zapatista Narratives   Marcos’ innovative and engaging discursive style is particularly evident in the stories he tells of Don Durito, a beetle named Nebuchadnezzar who has assumed the nom de guerre of Durito, which literally means the little strong or hard one, a reference to his shell, fighting spirit and his status as a ladies’ man (Subcomandante Marcos 9). Don Durito has made the floor of the Southern Mexican Lacandón jungle his home, but in Marcos’s stories he often travels the world as a knight-errant, reminiscent of Cervantes’s delusional do-gooder Don Quijote. Durito also intermittently assumes the role of a detective and that of a political analyst, and it is in this guise that he first meets Marcos. This occurs when Marcos, unable to find tobacco to fill the pipe he is never seen without, notices a trail of the dried black leaves weaving away from his hammock. After following the trail for a few metres Marcos sees, behind a stone, a bespectacled beetle clenching a tiny pipe, sitting at a tiny desk studying, as we soon discover, neoliberalism “and its strategy of domination for Latin America” (Subcomandante Marcos 12). Marcos, unfazed by the discovery of a literate, smoking beetle is taken aback by his investigation of neoliberalism. Durito explains that his scholarly interest is quite pragmatic for it stems from a desire to know how long and how successful the Zapatista struggle will be so as to ascertain “how long us beetles are going to have to be careful that you [Marcos and the other members of the Zapatista army who are based in the jungle] aren’t going to squash us with your big boots” (Subcomandante Marcos 12). In these encounters with Durito the political analyst, Marcos is given lessons in politics and economics from an inhabitant of the jungle floor, from a beetle who recognises that the danger of being squashed by “big boots” in his small patch of land is intimately linked to the global issue of neoliberalism and its much bigger boots. Through these stories, Marcos highlights the detrimental impact that global economic policies have had on the Maya of Chiapas. The character of Durito also enables him to demonstrate the potential for small, seemingly insignificant individuals or groups to radically challenge these policies and articulate alternatives.    Conclusion   Such entertaining and lyrical prose enables the EZLN to present itself as a new style of social revolutionary movement, far removed from traditional Latin American revolutionary struggles. This has, arguably, broadened the movement’s international support network, a situation facilitated by the circulation and publication of these writings and communiqués on the Internet by the movement’s NGO support network. However, while the use of information-age technology to stimulate the creation of collective transnational support networks presents as a useful strategy for contemporary social struggles, it does not guarantee the procurement of significant political, economic and social change. Indeed, after more than a decade of struggle, the Zapatistas have not precipitated the radical reconstruction of the Mexican political system that they had hoped for.    References    Burbach, Roger. Globalization and Postmodern Politics: From Zapatistas to High-Tech Robber Barons. London: Pluto Press, 2001. Castells, Manuel. The Information Age: Economy, Society and Culture Volume II: The Power of Identity. Malden, Ma.: Blackwell Publishers, 1997. Cleaver, Harry M. Jr. “The Zapatista Effect: The Internet and the Rise of an Alternative Political Fabric.” Journal of International Affairs 51.2 (1998): 621-40. Froehling, Oliver. “The Cyberspace ‘War of Ink and Internet’ in Chiapas, Mexico.” The Geographical Review 87.2 (1997): 291-307. Knudson, Jerry W. “Rebellion in Chiapas: Insurrection by Internet and Public Relations.” Media, Culture and Society 20.3 (1998): 507-18. Ponce de León, Juana. “Editor’s Note: Travelling Back for Tomorrow.” Our Word Is Our Weapon. Ed. Juana Ponce de León. London: Serpent’s Tail, 2001. xxiii-xxxi. Ronfeldt, David, et al. The Zapatista Social Netwar in Mexico. Santa Monica, California: RAND, 1998. Subcomandante Marcos. Don Durito de La Lacandona. San Cristóbal de Las Casas Chiapas: Centro de Información y Análisis de Chiapas, 1999.   &#x0D; &#x0D; &#x0D;         &#x0D;           Citation reference for this article&#x0D; &#x0D;           MLA Style&#x0D;           Turner, Bethaney. """"Information-Age Guerrillas: The Communication Strategies of the Zapatistas."""" M/C Journal 8.2 (2005).  echo date('d M. Y'); ?&gt; &lt;http://journal.media-culture.org.au/0506/01-turner.php&gt;. APA Style&#x0D;           Turner, B. (Jun. 2005)  """"Information-Age Guerrillas: The Communication Strategies of the Zapatistas,"""" M/C Journal, 8(2). Retrieved  echo date('d M. Y'); ?&gt; from &lt;http://journal.media-culture.org.au/0506/01-turner.php&gt;. &#x0D;       ","",""
"2005","Deconstructing Google bombs: A breach of symbolic power or just a goofy prank?"," In this study I compare two Google bombs using Melluci’s (1996) social movement framework. Viewing the Google bombing practice as a social movement provides an informative lens from which to analyze the nature and goals as well as the results of this form of online collective action. The empirical basis for this research relies on analysis of the content and context of Google bomb hyperlinking using an approach informed by Beaulieu’s (2005) notion of sociable hyperlinks. From this study I conclude that the Google bombing practice is an online protest technique not unlike the """"media mind bomb"""" developed by the late Bob Hunter of Greenpeace (2004) fame. In the case of Hunter’s mind bombs, sounds and images were used to form alternate constructions of reality in the news media. Similarly, Google bombs are constructed by manipulating the relative ranking of an Internet search term and thereby creating alternate constructions of reality through collective action online.  ","",""
"2006","Protest in an Information Society: a review of literature on social movements and new ICTs","New Information and Communication Technologies (ICTs) are changing the ways in which activists communicate, collaborate and demonstrate. Scholars from a wide range of disciplines, among them sociology, political science and communication, are working to understand these changes. The diversity of perspectives represented enriches the literature, providing an abundant repertoire of tools for examining these phenomena, but it is also an obstacle to understanding. Few works are commonly cited across the field, and most are known only within the confines of their discipline. The absence of a common set of organizing theoretical principles can make it difficult to find connections between these disparate works beyond their common subject matter. This paper responds by locating existing scholarship within a common framework for explaining the emergence, development and outcomes of social movement activity. This provides a logical structure that facilitates conversations across the field around common issues of concern, highlighting connections between scholars and research agendas that might otherwise be difficult to discern.","",""
"2006","Democratic media activism through the lens of social movement theory"," This article considers how we are to understand democratic media activism, which has recently burgeoned in Canada, the UK and the USA. What is its political significance and potential? Is it a new social movement, a new style of politics cutting across movements, or are new concepts needed? Drawing illustratively upon interviews with media activists, notably in Vancouver, we explore insights offered by social movement theory - including resource mobilization formulations and the new social movement theories of Melucci, Habermas, Cohen and Arato, and Fraser. While all these traditions offer valuable insights, media activism reveals limitations in existing conceptualizations. It has some of the characteristics of a movement, but lacks a distinct collective identity or niche within movement ecology. It may be destined to be a boundary-transgressing nodal point for other movements, articulating a coherent project for radical democracy, rather than a movement-for-itself. ","",""
"2006","Environmental protest and tap-dancing with the media in the information age"," Environmental politics and values gain legitimacy through their constant presence in the media. This article outlines and critiques a theoretical approach that can increase understanding of the relationship between environmental protest and news media representation. Manuel Castells, pre-eminent theorist of the information age and 'the network society', is useful in this regard. He describes the relationship between media organizations and environmentalists as 'tap-dancing'. His explanation of this dance and its choreography, however, is overly general, ignoring its specific features and workings in terms of representation. In order to detail some of these features, we have selected for study Australia's most famous environmental protest and a globally significant moment for green politics: the 1982 Franklin Dam blockade in Tasmania. We argue that it was during this blockade that an enduring pattern of media environmentalist relations was established in Australia, and substantiate this case by examining subsequent protests. The article concludes by critiquing current understandings of media environmentalist relations and explains the dynamics of the mediation process that determines the reporting of protests. ","",""
