"year","title","abstract","journal","doi"
"2000","Online Personal Networks"," Personal relationships are noted for intimacy, frequent interaction, the maintenance of multiple relations, face-to-face contact and a desire for proximity. What happens to such relationships when face-to-face contact is unavailable or severely limited? How do pairs maintain personal relationships at a distance and via computer-mediated communication, and what do their personal networks look like under these conditions? Social network data from four computer-supported distance learning classes are used to build a picture of the size and composition of students' personal online networks. Individuals reported on their communications regarding instrumental and social relations with others in their class, and on which media they used to maintain these relations. In keeping with social network studies, those who communicate more frequently maintain more relations and more socially supportive relations, and report more positively about their desire for future work and social interaction. Individuals benefit from closer ties by feeling a stronger belonging to the class and perceiving greater social interaction among class mates. Unique to the online multi-media environment, strongly tied pairs use more media to communicate and appropriate both the technology and occasions for interaction to maintain their ties. Interview data from members of the same program reveal that pairs with closer ties used computer media to create virtual proximity, whispering to each other via Internet Relay Chat during synchronous classes, and seeking out others via email late at night. ","",""
"2001","Exploring Multiplexity: Social Network Structures in a Computer-Supported Distance Learning Class","A computer-mediated group is a complex entity whose members exchange many types of information via multiple means of communication in pursuit of goals specific to their environment. Over time, they coordinate technical features of media with locally enacted use to achieve a viable working arrangement. To explore this complex interaction, a case study is presented of the social networks of interactions and media use among members of a class of computer-supported distance learners. Results show how group structures associated with project teams dominated who communicated with whom, about what, and via which media over the term, and how media came to occupy their own communication niches: Webboard for diffuse class-wide communication; Internet Relay Chat more to named others but still for general communication across the class; and e-mail primarily for intrateam communication. Face-to-face interaction, occurring only during a short on-campus session, appears to have had a catalytic effect on social and emotional exchanges. Results suggest the need to structure exchanges to balance class-wide sharing of ideas with subgroup interactions that facilitate project completion, and to provide media that support these two modes of interaction.","",""
"2002","Strong, Weak, and Latent Ties and the Impact of New Media","This article argues that consideration of the strength of ties between communicators can help reconcile disparate results on the impact of new media on social relations. It is argued from the research literature and studies by the author that where ties are strong, communicators can influence each other to adapt and expand their use of media to support the exchanges important to their tie, but where ties are weak, communicators are dependent on common, organizationally established means of communication and protocols established by others. Due to this differential use of media, a new medium that adds means and opportunities for previously unconnected others to communicate will have positive effects on weak ties and weak-tie networks, in particular by laying an infrastructure of latent ties (ones that exist technically but have not yet been activated), and providing an opportunity for weak ties to develop and strengthen. A new medium may also have positive effects on strongly tied pairs where it adds another means of communicating and supports the communication needs and tasks of the pair. However, where a new medium replaces a former, common means of communication, the dependence of weak ties on a common medium makes weak-tie networks highly susceptible to dissolution. In contrast, strong-tie networks, with their connections via multiple relations and multiple media, can be expected to be more robust under conditions of change.","",""
"2003","A social network caught in the Web","We present an analysis of Club Nexus, an online community at Stanford University. Through the Nexus site we were able to study a reflection of the real world community structure within the student body. We observed and measured social network phenomena such as the small world effect, clustering, and the strength of weak ties. Using the rich profile data provided by the users we were able to deduce the attributes contributing to the formation of friendships, and to determine how the similarity of users decays as the distance between them in the network increases. In addition, we found correlations between users' personalities and their other attributes, as well as interesting correspondences between how users perceive themselves and how they are perceived by others.","",""
"2004","‘I’ve Never Clicked this Much with Anyone in My Life’: Trust and Hyperpersonal Communication in Online Friendships"," Earlier research on online communication has observed how its distinctive characteristics (such as limited cues and potential asynchronicity) facilitate online communication, notably ‘hyperpersonal communication’. Yet these distinctive characteristics do not explain the development of trust in online communication. This article uses qualitative interviews with 17 internet users to explore the foundations of trust in online friendships, drawing on Piotr Sztompka’s theoretical framework. It concludes that there are four main sources of online trust. First, reputation, whether grounded in a pseudonym or offline identity. Second, performance, due to the scope for enhanced performance in online communication. More than this, performance plays an especially important role in the building of online friendship, following Giddens’ model of the pure relationship (1991). Third, pre-commitment, through self-disclosure, which in turn encourages a ‘leap of faith’ and reciprocal self-disclosure. Finally, situational factors, especially the premium placed upon intimacy and the pure relationship in contemporary societies. ","",""
"2004","Internet connectedness before and after September 11 2001"," Abstract Based on survey data gathered before and after September 11, 2001 (‘9/11’), this study examines the relationship between ‘internet connectedness’ and communicative actions after September 11 2001. The study found that: (1) people heightened their dependency relations with traditional mass media after September 11, regardless of whether or not they had an internet connection; (2) ‘internet high-connectors’ intensified their internet connections, while ‘internet low-connectors’ decreased the intensity of their internet connections; and (3) internet high-connectors participated in a broader range of civic activities in response to September 11 than did internet low-and non-connectors. ","",""
"2004","Social Interactions Across Media"," Two studies compared college students’ interpersonal interaction online, face-to-face, and on the telephone. A communication diary assessed the relative amount of social interactions college students conducted online compared to face-to-face conversation and telephone calls. Results indicated that while the internet was integrated into college students’ social lives, face-to-face communication remained the dominant mode of interaction. Participants reported using the internet as often as the telephone. A survey compared reported use of the internet within local and long distance social circles to the use of other media within those circles, and examined participants’ most recent significant social interactions conducted across media in terms of purposes, contexts, and quality. Internet interaction was perceived as high in quality, but slightly lower than other media. Results were compared to previous conceptualizations of the roles of internet in one’s social life. ","",""
"2005","Social networks and Internet connectivity effects","This paper explores the impact of communication media and the Internet on connectivity between people. Results from a series of social network studies of media use are used as background for exploration of these impacts. These studies explored the use of all available media among members of an academic research group and among distance learners. Asking about media use as well as about the strength of the tie between communicating pairs revealed that those more strongly tied used more media to communicate than weak ties, and that media use within groups conformed to a unidimensional scale, showing a configuration of different tiers of media use supporting social networks of different ties strengths. These results lead to a number of implications regarding media and Internet connectivity, including: how media use can be added to characteristics of social network ties; how introducing a medium can create latent tie connectivity among group members that provides the technical means for activating weak ties, and also how a change in a medium can disrupt existing weak tie networks; how the tiers of media use also suggest that certain media support different kinds of information flow; and the importance of organization-level decisions about what media to provide and promote. The paper concludes with a discussion of implications for Internet effects.","",""
"2005","Weak Ties in Networked Communities","Communities with high levels of social capital are likely to have a higher quality of life than communities with low social capital. This is due to the greater ability of such communities to organize and mobilize effectively for collective action because they have high levels of social trust, dense social networks, and well-established norms of mutuality (the major features of social capital). Communities with “bridging” social capital (weak ties across groups) as well as “bonding” social capital (strong ties within groups) are the most effective in organizing for collective action. People who belong to multiple groups act as bridging ties. When people with bridging ties use communication media, such as the Internet, they enhance their capability to educate community members and to organize, as needed, for collective action. This article summarizes evidence from stratified household survey data in Blacksburg, VA, showing that people with weak (bridging) ties across groups have higher levels of community involvement, civic interest, and collective efficacy than people without bridging ties among groups. Moreover, heavy Internet users with bridging ties have higher social engagement, use the Internet for social purposes, and have been attending more local meetings and events since going online than heavy Internet users with no bridging ties. These findings may suggest that the Internet—in the hands of bridging individuals–is a tool for enhancing social relations and information exchange, and for increasing face-to-face interaction, all of which help to build both bonding and bridging social capital in communities.","",""
"2005","The use of the Internet to activate latent ties in scholarly communities","  This paper presents the results of a survey on the use of the Internet by university-based scholars to contact unknown peers. These contacts are considered as examples of the activation of “latent ties” which are said to exist within communities with associated interests. The research indicates that the Internet facilitates the activation of these ties and that the degree to which it is used for this purpose is associated with academic rank.  ","",""
