"year","title","abstract","journal","doi"
"2012","Melissa Gregg, Work’s Intimacy","Labor issues in the network society have attracted tremendous attention recently. Rather than totalizing contemporary working experience, Work’s Intimacy by Melissa Gregg focuses on the complexities and contradictions of mid-rank professionals, previously defined as white-collar workers and later on as knowledge workers. It comes out as a long “overdue” and valuably nuanced account of the impact of mobile/online technologies on work, life, and social relations. Based upon three-year ethnographic studies on 26 professionals in Brisbane, Australia, Gregg’s book successfully fills the gap in the existing literature on digital labor, which is drastically divided by the claim of “super-exploitation” and the advocacy of producers’ creativity (see Bruns, 2008; Terranova, 2000).","",""
"2012","Digital labor is the new killer app"," Research on digital labor tends to fall into idealized, oppositional binaries that are judgmental rather than based on detailed analyses of the actual system or site. Our goal in this article is to provide a view on digital labor that is grounded less in speculation but in narratives from the producers of the platforms and content of the digital economy. To provide original perspectives on digital work we emphasize the agency of the producers and freelancers working at the global outsourcing firm Samasource and the cable television network Current TV. Our analyses of these two cases reveal important questions regarding 1) the values and organizational culture of firm founders and executives and 2) the mobility of freelance workers within the networks of digital labor. In conclusion we interrogate how wealth is distributed within the network. Across these questions, we introduce a research agenda that considers to bridge the ethical challenges of labor exploitation as well as the promises of social entrepreneurship in the digital economy. ","",""
"2015","The cultural work of microwork"," Crowdsourcing systems do more than get information work done. This paper argues that microwork systems produce the difference between “innovative” laborers and “menial” laborers, ameliorating resulting tensions in new media production cultures in turn. This paper focuses on Amazon Mechanical Turk (AMT) as an emblematic case of microwork crowdsourcing. Ethical research on crowdsourcing has focused on questions of worker fairness and microlabor alienation. This paper focuses on the cultural work of AMT’s mediations: divisions of labor and software interfaces. This paper draws from infrastructure studies and feminist science and technology studies to examine Amazon Mechanical Turk labor practice, its methods of worker control, and the kinds of users it produces. ","",""
"2015","FCJ-189 Reimagining Work: Entanglements and Frictions around Future of Work Narratives","This article explores entanglements and frictions between labour advocates and their relationship to technologies in future of work narratives in the United States. Drawing on literature from science and technology studies and media studies, we argue that there is an opportunity to move beyond discussions of technology as a ‘black box’ in order to deepen these entanglements and expose the frictions within these discourses. As a means of engaging with the ways in which the future of work is being imagined and opening up discussions around technology, we conducted a one-day participatory design workshop that uses a game in order to reveal the philosophies embedded in labour activism and technology. doi: 10.15307/fcj.26.189.2015 issue 26: Entanglements Activism and Technology","",""
"2016","Rebalancing interests and power structures on crowdworking platforms","Crowdwork on virtual platforms is developing into a recognisable employment and business model on the internet. Despite their many differences, the platforms that have emerged over the last few years have one thing in common: a crowd of individual producers and capabilities is mobilised – in the form of labour, accommodation or durable goods – onto the market in cooperation and competition with firms from traditional industries. This study analyses the factors crowdworkers consider relevant in their work and the measures they view as helpful in improving their working relationship with platforms. It is apparent that, in the best tradition of the peer economy, this new type of worker still considers learning and fun important factors for his or her engagement. Despite these effectively intrinsic factors, workers are quite aware of their situation, which does not put them on equal terms with the platform’s algorithms and customer focus. This awareness of power disparities does not lead them, however, to reconsider their effectiveness when it comes to renegotiating terms with the platform: when specifically asked about the role of unions, the majority of crowdworkers did not expect help in self-organisation from these institutions. Considering the difficulties in regulating the market for platforms, (self-) organisation of crowdworkers, however, is an important prerequisite in rebalancing the power structure dominated by platform owners and their customers. Selforganisation is something digital natives are quite familiar with and we have to assume that crowdworkers are perhaps overconfident in their abilities. And due to the novelty of this industry, this confidence has not been shaken yet by labour disputes or even by growing dissatisfaction with platforms.","",""
"2016","Metaphors of free labor: a typology of unpaid work in the media sector"," Over the last decade, free labor has emerged as a key analytical tool for understanding new or semi-new forms of labor in the contemporary digital economy. This article critiques and develops this concept, with specific reference to work in the media industries, by presenting a historically grounded typology of free labor that also highlights some of the analytical problems with the current use of the concept. Our typology presents seven metaphors of free labor based on historical instances of roles people have taken on when performing unpaid labor: those of The Slave, The Carer, The Apprentice, The Prospector, The Hobbyist, The Volunteer, and The Patsy. A key conclusion is that free labor is performed by different actors at either end of increasingly complex and temporally stretched out value chains. This necessitates a more fine-grained and historicized use of the concept of free labor. ","",""
"2016","Wheels in the Head: Ridesharing as Monitored Performance","Ridesharing services offer on-demand rides much like taxicabs, but distinguish themselves from cabs by emphasizing the friendly, social aspect of the in-car interaction. Crucial to the ability of these companies to distinguish themselves from cabs has been the insertion of smartphones as “social interfaces” between drivers and passengers, restructuring social interaction through an allegorithm the productive co-deployment of a socially relevant allegorical script and a software-mediated algorithm). Much of the affective labor of ridesharing drivers consists in maintaining this affective framing and internalizing the logic by which their performances are monitored. In this article the writings of three ridesharing drivers will be drawn on to illustrate the ways drivers develop and evaluate their own performances as ridesharing drivers.Ridesharing services offer on-demand rides much like taxicabs, but distinguish themselves from cabs by emphasizing the friendly, social aspect of the in-car interaction. Crucial to the ability of these companies to distinguish themselves from cabs has been the insertion of smartphones as “social interfaces” between drivers and passengers, restructuring social interaction through an allegorithm the productive co-deployment of a socially relevant allegorical script and a software-mediated algorithm). Much of the affective labor of ridesharing drivers consists in maintaining this affective framing and internalizing the logic by which their performances are monitored. In this article the writings of three ridesharing drivers will be drawn on to illustrate the ways drivers develop and evaluate their own performances as ridesharing drivers. ","",""
"2017","Venture Labor| How Venture Labor Sheds Light on the Digital Platform Economy","I draw attention to the entrepreneurial ideology that underlies both venture labor and several manifestations of digital labor, defined as deskilled and underpaid/unpaid work performed for online platforms. If contemporary workers seem more willing to accept the burden of entrepreneurial risk or the hardships of underpaid undertakings, this is because they reinterpret value-producing tasks as aligned with their private goals. At the same time, both venture labor and “implicit” work on digital platforms raise issues of distributive justice connected to value capture and centralization, thus increasing the potential for social antagonism and conflict.","",""
"2017","Uberworked and underpaid: How workers are disrupting the digital economy","","",""
"2017","Platform labor: on the gendered and racialized exploitation of low-income service work in the ‘on-demand’ economy","","",""
