"year","title","abstract","journal","doi"
"2000","The political economy of communication and the future of the field","","",""
"2001","HAROLD INNIS AND 'THE BIAS OF COMMUNICATION'","Fifty years after his death, Harold Innis remains one of the most widely cited but least understood of communication theorists. This is particularly true in relation to his concept of 'bias'. This paper reconstructs this concept and places it in the context of Innis' uniquely non-Marxist dialectical materialist methodology. In so doing, the author emphasises ongoing debates concerning Innis' work and demonstrates its utility in relation to contemporary analyses of the Internet and related developments.","",""
"2001","Flows and Nodes","media add to the message is nothing but noise, which, in an ideal world, could be eliminated resulting in perfect transmission. The classic formulation of such a ’transportation theory’ of communication was developed by Claude Shannon and Warren Weaver.3 However, a different approach to communication media, one that could be called a ’transformation theory’, has also been developed, most prominently by Marshall McLuhan. One of his central but most misunderstood","",""
"2002","Reviews : Daya Kishan Thussu, International Communication: Continuity and                 Change (London: Arnold, 2000), 342pp. ISBN 0 340 74131 7 (pbk","Understanding and conceptualising the role of communications in the making of international connections has produced a rich vein of scholarly research. This field of work is covered in Thussu’s wellstructured book. Individual chapters address the history and theorisation of international communications, before looking at the formation of the international communication infrastructure, the global market for communications, the cultural aspects of globalisation, and patterns of contra-flow in transnational media. A final chapter brings these perspectives together in thinking about the ways in which the internet is","",""
"2004","Notes on Contributors","Letizia Caronia is Professor in General Education at the University of Bologna, Italy. She is a specialist on media socialisation and on language, interaction and culture. Particularly her research focuses on the sense-making work accomplished by the social actor in and through the uses of communication technologies. She has published widely on the social uses of information and communication technologies. (email: letizia.caronia@unibo.it)","",""
"2008","Review Essay: Urban Communication: The Blind Men and the Elephant","","",""
"2008","Rita Watson & Menahem Blondheim (Eds.): The Toronto School of Communication Theory: Interpretations, Extensions, Applications","","",""
"2008","Manufacturing Peace Through International Communication Policies: United Nations Public Information Strategy in Guatemala 1996-2004","","",""
"2009","Barbie Zelizer: Exporations in Communication and History","","",""
"2009","Eric Eisenberg: Strategic Ambiguities: Essays on Communication, Organization and Identity","","",""
"2009","Books Received","Tyrone L. Adams and Stephen A. Smith (eds), Electronic Tribes: The Virtual Worlds of Geeks, Gamers, Shamans, and Scammers, University of Texas Press, 2008. Karen Beckman and Jean Ma (eds), Still Moving: Between Cinema and Photography, Duke University Press, 2008. Esperança Bielsa and Susan Bassnett, Translation in Global News, Routledge, 2009. Leo R. Chavez, The Latino Threat: Constructing Immigrants, Citizens, and the Nation, Stanford University Press, 2008. Ron Eyerman, The Assassination of Theo Van Gogh: From Social Drama to Cultural Trauma, Duke University Press, 2008. Loren Ghiglione, CBS’s Don Hollenbeck: An Honest Reporter in the Age of McCarthyism, Columbia University Press, 2008. Gary Hall, Digitize This Book! The Politics of New Media, or Why We Need Open Access Now, University of Minnesota Press, 2008. Robert Hassan, The Information Society, Polity Press, 2008. Wendy Jacob, Laurie Palmer and John Ploof (eds),With Love from Haha: Essays and Notes from a Collective Practice, University of Chicago Press, 2008. Patricia MacCormack, Cinesexuality, Ashgate, 2008. Jeffery S. McMillan, Delightfulee: The Life and Music of Lee Morgan, University of Michigan Press, 2008. Graham Meikle, Interpreting News, Palgrave Macmillan, 2009. Ralph Negrine, The Transformation of Political Communication: Continuities and Changes in Media and Politics, Palgrave Macmillan, 2008. Gareth Palmer (ed.), Exposing Lifestyle Television: The Big Reveal, Ashgate, 2008. John Pitts, Reluctant Gangsters: The Changing Face of Youth Crime, Willan Publishing, 2008. Laurence A. Rickels, The Devil Notebooks, University of Minnesota Press, 2008. Sharon Marie Ross, Beyond the Box: Television and the Internet, Blackwell Publishing, 2008. Hartmut Wessler (ed.), Public Deliberation and Public Culture: The Writings of Bernhard Peters, 1993–2005, Palgrave Macmillan, 2008. Kristen Whissel, Picturing American Modernity: Traffic, Technology, and the Silent Cinema, Duke University Press, 2008. Linda Williams, Screening Sex, Duke University Press, 2008. Pamela Wilson and Michelle Stewart (eds), Global Indigenous Media: Cultures, Poetics, and Politics, Duke University Press, 2008.","",""
"2009","Hans-Georg Gadamer's<i>Praxis</i>: Implications for Connection and Action in Communication Studies","","",""
"2009","Latina/o Communication Studies: Theorizing Performance by Bernadette Marie Calafell","","",""
"2009","Latina/o Communication Studies Today - Edited by Angharad N. Valdivia","","",""
"2010","SSRC| Introduction: Toward An Epistemology of Engaged Research | Making Communication Research Matter","","",""
"2010","De-Westernizing communication/social science research: opportunities and limitations","","",""
