"year","title","abstract","journal","doi"
"2003","Phantom authority, self-selective recruitment and retention of members in virtual communities: The case of Wikipedia","Virtual communities constitute a building block of the information society. These organizations appear capable to guarantee unique outcomes in voluntary association since they cancel physical distance and ease the process of searching for like-minded individuals.  In particular, open source communities, devoted to the collective production of public goods, show efficiency properties far superior to the traditional institutional solutions to the public goods issue (e.g. property rights enforcement and secrecy).  This paper employs team and club good theory as well as transaction cost economics to analyse the Wikipedia online community, which is devoted to the creation of a free encyclopaedia. An interpretative framework explains the outstanding success of Wikipedia thanks to a novel solution to the problem of graffiti attacks - the submission of undesirable pieces of information. Indeed, Wiki technology reduces the transaction cost of erasing graffiti and therefore prevents attackers from posting unwanted contributions.  The issue of the sporadic intervention of the highest authority in the system is examined, and the relatively more frequent local interaction between users is emphasized.  The constellation of different motivations that participants may have is discussed, and the barriers-free recruitment process analysed.  A few suggestions, meant to encourage long term sustainability of knowledge assemblages, such as Wikipedia, are provided. Open issues and possible directions for future research are also discussed.","",""
"2006","Tactical memory: The politics of openness in the construction of memory","Those in the openness movement believe that access to information is inherently democratic, and assume the effects of openness will all be good from the movement’s perspective. But means are not ends, nothing is inevitable, and just what will be done with openly available information once achieved is rarely specified. One implicit goal of the openness movement is to create and sustain politically useful memory in situations in which official memory may not suffice, but to achieve this, openness is not enough. With the transition from a panopticon to a panspectron environment, the production of open information not only provides support for communities but also contributes to surveillance. Proprietary ownership of information is being challenged, but there is erosion of ownership in the sense of being confident in what is known. Some tactics currently in use need to be re–evaluated to determine their actual effects under current circumstances. Successfully achieving tactical memory in the 21st century also requires experimentation with new types of tactics, including those of technological discretion and of scale as a medium. At the most abstract level, the key political battle of the 21st century may not be between particular political parties or ideologies but, rather, the war between mathematics and narrative creativity.","",""
"2006","Puppy smoothies: Improving the reliability of open, collaborative wikis","The reliability of information collected from at large Internet users by open collaborative wikis such as Wikipedia has been a subject of widespread debate. This paper provides a practical proposal for improving user confidence in wiki information by coloring the text of a wiki article based on the venerability of the text. This proposal relies on the philosophy that bad information is less likely to survive a collaborative editing process over large numbers of edits. Colorization would provide users with a clear visual cue as to the level of confidence that they can place in particular assertions made within a wiki article.","",""
"2006","An empirical examination of Wikipedia's credibility","Wikipedia is an free, online encyclopaedia which anyone can add content to or edit the existing content of. The idea behind Wikipedia is that members of the general public can add their own personal knowledge, anonymously if they wish. Wikipedia then evolves over time into a comprehensive knowledge base on all things. Its popularity has never been questioned, although its authority has. By its own admission, Wikipedia contains errors. A number of people have tested Wikipedia’s accuracy using destructive methods, i.e. deliberately inserting errors. This has been criticised by Wikipedia. This short study examines Wikipedia’s credibility by asking 258 research staff with a response rate of 21 percent, to read an article and assess its credibility, the credibility of its author and the credibility of Wikipedia as a whole. Staff were either given an article in their own expert domain or a random article. No difference was found between the two group in terms of their perceived credibility of Wikipedia or of the articles’ authors, but a difference was found in the credibility of the articles — the experts found Wikipedia’s articles to be more credible than the non–experts. This suggests that the accuracy of Wikipedia is high. However, the results should not be seen as support for Wikipedia as a totally reliable resource as, according to the experts, 13 percent of the articles contain mistakes.","",""
"2007","Scientific citations in Wikipedia","The Internet-based encyclopaedia Wikipedia has grown to become one of the most visited Web sites on the Internet, but critics have questioned the quality of entries. An empirical study of Wikipedia found errors in a 2005 sample of science entries. Biased coverage and lack of sources are among the """"Wikipedia risks."""" This paper describes a simple assessment of these aspects by examining the outbound links from Wikipedia articles to articles in scientific journals with a comparison against journal statistics from Journal Citation Reports such as impact factors. The results show an increasing use of structured citation markup and good agreement with citation patterns seen in the scientific literature though with a slight tendency to cite articles in high-impact journals such as Nature and Science. These results increase confidence in Wikipedia as a reliable information resource for science in general. ","",""
"2007","What is popular on Wikipedia and why?","This paper analyzes which pages and topics are the most popular on Wikipedia and why. For the period of September 2006 to January 2007, the 100 most visited Wikipedia pages in a month are identified and categorized in terms of the major topics of interest. The observed topics are compared with search behavior on the Web. Search queries, which are identical to the titles of the most popular Wikipedia pages, are submitted to major search engines and the positions of popular Wikipedia pages in the top 10 search results are determined. The presented data helps to explain how search engines, and Google in particular, fuel the growth and shape what is popular on Wikipedia.","",""
"2007","What open access research can do for Wikipedia","This study examines the degree to which Wikipedia entries cite or reference research and scholarship, and whether that research and scholarship is generally available to readers. Working on the assumption that where Wikipedia provides links to research and scholarship that readers can readily consult, it increases the authority, reliability, and educational quality of this popular encyclopedia, this study examines Wikipedia’s use of open access research and scholarship, that is, peer-reviewed journal articles that have been made freely available online. This study demonstrates among a sample of 100 Wikipedia entries, which included 168 sources or references, only two percent of the entries provided links to open access research and scholarship. However, it proved possible to locate, using Google Scholar and other search engines, relevant examples of open access work for 60 percent of a sub-set of 20 Wikipedia entries. The results suggest that much more can be done to enrich and enhance this encyclopedia’s representation of the current state of knowledge. To assist in this process, the study provides a guide to help Wikipedia contributors locate and utilize open access research and scholarship in creating and editing encyclopedia entries.","",""
"2007","Visualizing the overlap between the 100 most visited pages on Wikipedia for September 2006 to January 2007","This paper compares the monthly lists of the 100 most visited Wikipedia pages for the period of September 2006 to January 2007. searchCrystal is used to visualize the overlap between the five monthly Top 100 lists to show which pages are highly visited in all five months; which pages in four of the five months and so on. It is shown that almost 40 percent of a month’s top 100 pages are visited in all five months, whereas 25 percent are highly visited only in a single month. The presented visualizations make it possible to gain quick insights into the overlap and topical relationships between the monthly lists.","",""
"2007","Assessing the value of cooperation in Wikipedia","Since its inception six years ago, the online encyclopedia Wikipedia has accumulated 6.40 million articles and 250 million edits, contributed in a predominantly undirected and haphazard fashion by 5.77 million unvetted volunteers. Despite the apparent lack of order, the 50 million edits by 4.8 million contributors to the 1.5 million articles in the English–language Wikipedia follow strong certain overall regularities. We show that the accretion of edits to an article is described by a simple stochastic mechanism, resulting in a heavy tail of highly visible articles with a large number of edits. We also demonstrate a crucial correlation between article quality and number of edits, which validates Wikipedia as a successful collaborative effort.","",""
"2008","The reach and richness of Wikipedia: Is Wikinomics only for rich countries?","This study examined the impact of technological and economic factors on the global diffusion of Wikinomics among developed and developing countries. Examining different language editions of Wikipedia, this study found significant correlation between a variety of socio-economic factors and involvement in Wikipedia.","",""
